Source,Target,Type,Id,Label,Weight
53e99866b7602d970209ff0e,53e9a415b7602d9702d31e4f,Directed,10541,,1
53e99866b7602d970209ff0e,53e9a3dbb7602d9702cefa70,Directed,10548,,1
53e99866b7602d97020a06f6,53e9a034b7602d970291c4d9,Directed,10614,,1
53e99866b7602d97020a06f6,53e9a2e4b7602d9702bef862,Directed,10622,,1
53e99866b7602d97020a06f6,53e9a41cb7602d9702d34dd3,Directed,10623,,1
53e99866b7602d97020a06f6,53e9aadfb7602d9703462a4d,Directed,10635,,1
53e99866b7602d97020a06f6,53e9abd4b7602d970358b6e6,Directed,10639,,1
53e99866b7602d97020a06f6,53e9b130b7602d9703bb041e,Directed,10645,,1
53e99866b7602d97020a06f6,53e9b5e6b7602d97041363e8,Directed,10658,,1
53e99866b7602d97020a06f6,53e9b701b7602d9704298da2,Directed,10659,,1
53e99866b7602d97020a06f6,53e9bbf5b7602d970484cec2,Directed,10674,,1
53e99866b7602d97020a06f6,5736968d6e3b12023e597978,Directed,10682,,1
53e99866b7602d97020a0b67,53e9a02db7602d9702910e66,Directed,10736,,1
53e99866b7602d97020a0b67,53e9a472b7602d9702d93628,Directed,10740,,1
53e99866b7602d97020a0b67,53e9ace9b7602d97036c8084,Directed,10744,,1
53e99866b7602d97020a0b67,53e9ae8ab7602d97038aacef,Directed,10745,,1
53e99867b7602d97020a20fc,53e9b7eeb7602d970439fe80,Directed,10854,,1
53e99867b7602d97020a20fc,53e9ac05b7602d97035c9149,Directed,10857,,1
53e99867b7602d97020a20c5,53e9a401b7602d9702d1c40d,Directed,10876,,1
53e99867b7602d97020a20c5,53e9a6bbb7602d9702ff0310,Directed,10877,,1
53e99867b7602d97020a20c5,53e9b655b7602d97041b334b,Directed,10881,,1
53e99867b7602d97020a20c5,53e9b8e8b7602d97044cbc67,Directed,10882,,1
53e99867b7602d97020a20c5,53e9bb93b7602d97047da4fe,Directed,10883,,1
53e99867b7602d97020a20c5,53e9a720b7602d9703057d8d,Directed,10884,,1
53e99867b7602d97020a20c5,53e9bb53b7602d9704794310,Directed,10885,,1
53e99867b7602d97020a33d9,53e99cb5b7602d9702569e16,Directed,10977,,1
53e99867b7602d97020a33d9,53e99d13b7602d97025c82fe,Directed,10978,,1
